id_subsistema;nom_subsistema;din_instante;val_gerhidraulica;val_gertermica;val_gereolica;val_gersolar;val_carga;val_intercambio
N  ;NORTE;2026-01-01 00:00:00;11587.045999999998;1864.907;263.019;0.0;7622.605999999999;6094.172
NE ;NORDESTE;2026-01-01 00:00:00;2958.865;577.183;10067.167000000003;0.0;12887.229000000005;714.6800000000001
S  ;SUL;2026-01-01 00:00:00;11963.604;145.406;419.888;1.0;11137.516;1435.692
SE ;SUDESTE/CENTRO-OESTE;2026-01-01 00:00:00;27078.802;5521.23;204.086;0.0;41048.46;-8244.544
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-01 00:00:00;53588.317;8108.725999999999;10961.527000000004;1.0;72695.81;0.0
N  ;NORTE;2026-01-01 01:00:00;11922.26;1870.472;159.592;0.0;7707.001000000002;6247.049999999999
NE ;NORDESTE;2026-01-01 01:00:00;2944.306;574.265;9856.062;0.0;13177.871000000005;188.20499999999996
S  ;SUL;2026-01-01 01:00:00;13523.744999999995;144.901;347.761;1.0;11560.689999999997;2456.717
SE ;SUDESTE/CENTRO-OESTE;2026-01-01 01:00:00;26620.173;5504.796;183.393;0.0;41202.382;-8891.972
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-01 01:00:00;55010.484;8094.434;10503.048;1.0;73647.94;0.0
N  ;NORTE;2026-01-01 02:00:00;11387.669;1865.586;226.637;0.0;7797.503000000001;5684.082
NE ;NORDESTE;2026-01-01 02:00:00;2838.603;550.356;9411.525000000003;0.0;13388.638000000004;-589.471
S  ;SUL;2026-01-01 02:00:00;14711.694;154.27;306.632;1.0;11327.135000000002;3846.461
SE ;SUDESTE/CENTRO-OESTE;2026-01-01 02:00:00;26515.89;5503.265;175.414;0.0;41135.284;-8941.072
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-01 02:00:00;55453.856;8073.477000000001;10095.400000000003;1.0;73648.56;0.0
N  ;NORTE;2026-01-01 03:00:00;9742.161;1845.5610000000004;265.792;0.0;7807.821999999999;4047.397
NE ;NORDESTE;2026-01-01 03:00:00;2935.422;544.415;8647.931999999999;0.0;13485.516;-1359.04
S  ;SUL;2026-01-01 03:00:00;14858.091999999995;159.982;293.012;1.0;10971.575999999995;4340.51
SE ;SUDESTE/CENTRO-OESTE;2026-01-01 03:00:00;27848.287999999997;5501.2970000000005;159.273;0.0;40538.60999999999;-7028.867
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-01 03:00:00;55383.96299999999;8051.255000000001;9327.499;1.0;72803.52;0.0
N  ;NORTE;2026-01-01 04:00:00;8306.902;1847.796;315.179;0.0;7781.869000000001;2689.6890000000003
NE ;NORDESTE;2026-01-01 04:00:00;2952.556;551.0319999999999;8110.862;13.632;13354.581;-1726.448
S  ;SUL;2026-01-01 04:00:00;14860.459;159.454;229.766;1.0;10678.113;4572.566
SE ;SUDESTE/CENTRO-OESTE;2026-01-01 04:00:00;28460.55400000001;5495.576;120.382;18.425;39631.48200000001;-5535.807
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-01 04:00:00;54580.47100000001;8053.857999999999;8739.769999999999;33.057;71446.05;0.0
N  ;NORTE;2026-01-01 05:00:00;6608.461;1845.37;340.35;14.673000000000002;7718.3870000000015;1092.166
NE ;NORDESTE;2026-01-01 05:00:00;2893.559;547.3410000000001;7425.066;441.5419999999999;12589.669999999998;-1272.585
S  ;SUL;2026-01-01 05:00:00;14446.457999999997;167.42000000000002;300.495;80.24700000000001;10331.748999999996;4689.394
SE ;SUDESTE/CENTRO-OESTE;2026-01-01 05:00:00;27788.929999999997;5491.231000000001;85.552;534.7349999999999;38413.197;-4508.975
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-01 05:00:00;51737.408;8051.362000000001;8165.585000000001;1071.197;69053.0;0.0
N  ;NORTE;2026-01-01 06:00:00;5366.225;1698.816;322.436;196.694;7460.169;125.62199999999984
NE ;NORDESTE;2026-01-01 06:00:00;2447.694;559.6659999999999;7233.326999999999;4024.437;11637.151999999998;2665.915
S  ;SUL;2026-01-01 06:00:00;10046.075;165.225;362.109;661.119;9789.546;1463.187
SE ;SUDESTE/CENTRO-OESTE;2026-01-01 06:00:00;22947.016000000007;5278.447;61.063;4878.21;37417.75600000001;-4254.724
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-01 06:00:00;40807.01000000001;7702.154;8047.8229999999985;9760.46;66304.62;0.0
N  ;NORTE;2026-01-01 07:00:00;3961.622;1408.5780000000002;316.018;659.452;7320.744000000001;-973.342
NE ;NORDESTE;2026-01-01 07:00:00;1902.14;560.8689999999999;7384.007999999999;7888.625999999999;11417.945999999996;6347.716
S  ;SUL;2026-01-01 07:00:00;5236.496999999999;173.113;297.944;1524.796;9934.455;-2702.105
SE ;SUDESTE/CENTRO-OESTE;2026-01-01 07:00:00;18012.987999999994;5159.269;41.552;10686.761;36551.703;-2672.269
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-01 07:00:00;29113.246999999992;7301.829000000001;8071.711999999999;20759.635;65224.85;0.0
N  ;NORTE;2026-01-01 08:00:00;3634.917;1240.2930000000003;249.567;1187.399;7167.624;-853.9259999999999
NE ;NORDESTE;2026-01-01 08:00:00;1787.549;561.284;5637.476;9152.399000000005;11020.927000000003;6135.873
S  ;SUL;2026-01-01 08:00:00;4265.322;163.111;210.602;2470.85;9872.981;-2763.096
SE ;SUDESTE/CENTRO-OESTE;2026-01-01 08:00:00;14857.707;5128.683;15.049;13974.237999999998;36465.21;-2518.851
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-01 08:00:00;24545.495;7093.371;6113.128999999999;26784.886;64526.74;0.0
N  ;NORTE;2026-01-01 09:00:00;3661.529;1199.5020000000002;187.897;1607.908;7162.480999999999;-503.95899999999983
NE ;NORDESTE;2026-01-01 09:00:00;1800.762;566.494;3256.748000000001;8712.587;10767.219;3572.866
S  ;SUL;2026-01-01 09:00:00;4213.196;153.076;237.653;3455.969;10079.411;-2019.517
SE ;SUDESTE/CENTRO-OESTE;2026-01-01 09:00:00;14497.082999999991;5113.498;8.963000000000001;15817.433;36461.69899999999;-1049.39
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-01 09:00:00;24172.569999999992;7032.57;3712.3890000000006;29593.897;64470.81;0.0
N  ;NORTE;2026-01-01 10:00:00;3754.774;1188.183;155.116;1926.432;7206.955999999999;-180.8800000000001
NE ;NORDESTE;2026-01-01 10:00:00;1814.636;569.597;1916.513;8792.308;10723.006000000005;2374.284
S  ;SUL;2026-01-01 10:00:00;4379.877;145.497;240.727;4174.442999999999;10259.173000000004;-1318.629
SE ;SUDESTE/CENTRO-OESTE;2026-01-01 10:00:00;14631.81799999999;5070.165;6.0;16671.921000000002;37232.87099999999;-874.7750000000001
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-01 10:00:00;24581.104999999992;6973.442;2359.407;31565.104000000003;65422.01;0.0
N  ;NORTE;2026-01-01 11:00:00;3757.972;1176.422;154.76;2091.048;7371.07;-189.27599999999984
NE ;NORDESTE;2026-01-01 11:00:00;1809.336;567.747;1983.4869999999996;8816.939000000002;10707.422000000002;2479.045
S  ;SUL;2026-01-01 11:00:00;4415.566999999999;140.821;238.57100000000003;4458.714;10229.204;-954.753
SE ;SUDESTE/CENTRO-OESTE;2026-01-01 11:00:00;14609.999999999998;5031.014;6.0;17256.78;38218.763;-1335.016
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-01 11:00:00;24592.875;6916.004;2430.362;32623.481;66526.46;0.0
N  ;NORTE;2026-01-01 12:00:00;3700.984;1170.408;198.165;2020.274;7318.750000000001;-227.10199999999983
NE ;NORDESTE;2026-01-01 12:00:00;1801.121;568.783;2171.521;8781.809999999998;10507.379999999996;2830.174
S  ;SUL;2026-01-01 12:00:00;4316.5;142.89600000000002;251.126;4200.01;9956.074;-1024.208
SE ;SUDESTE/CENTRO-OESTE;2026-01-01 12:00:00;14530.763999999996;4996.7660000000005;7.163;17195.327999999994;38289.34299999999;-1578.864
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-01 12:00:00;24349.368999999995;6878.853;2669.1450000000004;32197.42199999999;66071.55;0.0
N  ;NORTE;2026-01-01 13:00:00;3741.869;1166.6360000000002;227.349;1887.842;7231.799000000001;-206.3670000000002
NE ;NORDESTE;2026-01-01 13:00:00;1808.144;570.3209999999999;2071.789;8957.688999999998;10112.220999999998;3305.465
S  ;SUL;2026-01-01 13:00:00;4320.182000000001;142.235;414.61;3928.177;10030.449;-1225.245
SE ;SUDESTE/CENTRO-OESTE;2026-01-01 13:00:00;14497.093999999994;5002.55;7.0;15778.269000000002;37136.13399999999;-1873.853
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-01 13:00:00;24367.288999999997;6881.742;2735.347;30551.977000000003;64510.6;0.0
N  ;NORTE;2026-01-01 14:00:00;3822.189;1157.1620000000005;212.799;1590.2710000000002;7237.163;-453.04299999999967
NE ;NORDESTE;2026-01-01 14:00:00;1816.147;552.283;3614.705000000001;8708.482999999998;10110.596999999998;4588.148999999999
S  ;SUL;2026-01-01 14:00:00;4364.459000000001;159.645;659.124;3739.415;10390.347;-1467.704
SE ;SUDESTE/CENTRO-OESTE;2026-01-01 14:00:00;14651.469;5011.8550000000005;7.0;14098.418999999994;36408.197;-2667.402
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-01 14:00:00;24654.264;6880.9450000000015;4443.665;28136.588;64146.3;0.0
N  ;NORTE;2026-01-01 15:00:00;3779.994;1240.6060000000002;188.143;1235.6;7419.776999999999;-973.772
NE ;NORDESTE;2026-01-01 15:00:00;1812.731;528.162;5899.985999999997;8174.324;10544.713999999996;5885.682
S  ;SUL;2026-01-01 15:00:00;4406.714;146.099;881.662;3278.686;10904.647;-2191.486
SE ;SUDESTE/CENTRO-OESTE;2026-01-01 15:00:00;16578.384;5222.728000000001;14.173;12406.805;36949.782;-2720.424
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-01 15:00:00;26577.823;7137.595000000001;6902.270999999997;25095.415;65818.92;0.0
N  ;NORTE;2026-01-01 16:00:00;4581.9310000000005;1426.2530000000002;246.677;772.9830000000002;7458.977000000001;-429.4989999999998
NE ;NORDESTE;2026-01-01 16:00:00;2170.087;619.358;7281.518000000002;5048.665999999998;11229.286;3973.516
S  ;SUL;2026-01-01 16:00:00;5778.798;144.578;865.5070000000001;2379.996;11291.361;-2130.494
SE ;SUDESTE/CENTRO-OESTE;2026-01-01 16:00:00;21391.266999999996;5665.068000000001;56.174;9739.427999999998;38635.63999999999;-1413.523
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-01 16:00:00;33922.08299999999;7855.257000000001;8364.325;17941.072999999997;68615.26;0.0
N  ;NORTE;2026-01-01 17:00:00;6352.664000000001;1478.4579999999996;304.262;291.117;7338.982;1089.287
NE ;NORDESTE;2026-01-01 17:00:00;3521.742;641.8639999999999;8201.048999999999;1022.634;11968.283;1482.81
S  ;SUL;2026-01-01 17:00:00;8826.868;120.437;816.0;1333.6270000000002;11707.633000000002;-610.701
SE ;SUDESTE/CENTRO-OESTE;2026-01-01 17:00:00;27731.303;6062.561000000001;12.348;4158.929;40598.95;-1961.396
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-01 17:00:00;46432.577;8303.32;9329.291999999998;6806.307000000001;71613.85;0.0
N  ;NORTE;2026-01-01 18:00:00;8028.152999999999;1528.52;306.995;38.516000000000005;7514.611;2389.46
NE ;NORDESTE;2026-01-01 18:00:00;5141.877;648.113;8648.157000000001;23.247;13376.966;1092.153
S  ;SUL;2026-01-01 18:00:00;12130.860000000002;157.30700000000002;662.266;428.672;12016.649000000005;1362.456
SE ;SUDESTE/CENTRO-OESTE;2026-01-01 18:00:00;30621.40200000001;6572.234;8.618;491.51;42977.22900000001;-4844.069
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-01 18:00:00;55922.29200000001;8906.173999999999;9622.61;981.945;75885.46;0.0
N  ;NORTE;2026-01-01 19:00:00;9136.608;1548.4349999999995;290.977;2.785;7946.607000000002;3033.935
NE ;NORDESTE;2026-01-01 19:00:00;5599.081999999999;659.148;9706.225000000002;3.936;13759.736;2212.78
S  ;SUL;2026-01-01 19:00:00;13982.595;197.489;460.859;10.646;12970.51;1681.079
SE ;SUDESTE/CENTRO-OESTE;2026-01-01 19:00:00;32808.812;7045.062;11.357;16.195999999999998;46811.653000000006;-6927.794
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-01 19:00:00;61527.097;9450.133999999998;10449.557000000004;33.563;81488.51;0.0
N  ;NORTE;2026-01-01 20:00:00;10841.852;1560.0899999999997;305.023;0.0;8170.597;4538.176
NE ;NORDESTE;2026-01-01 20:00:00;5575.509;663.624;9284.552999999996;0.0;13895.789999999995;1632.08
S  ;SUL;2026-01-01 20:00:00;13827.294999999996;179.01;371.385;1.0;13707.430999999997;682.131
SE ;SUDESTE/CENTRO-OESTE;2026-01-01 20:00:00;33878.225999999995;7040.093;22.733;0.0;47803.489;-6852.387
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-01 20:00:00;64122.882;9442.817;9984.835999999998;1.0;83577.31;0.0
N  ;NORTE;2026-01-01 21:00:00;12752.035999999998;1566.819;325.748;0.0;8476.033999999998;6170.375
NE ;NORDESTE;2026-01-01 21:00:00;5348.672999999999;674.126;8858.255000000001;0.0;14381.36;503.1970000000001
S  ;SUL;2026-01-01 21:00:00;13338.017000000002;169.012;288.995;1.0;13685.657000000005;111.367
SE ;SUDESTE/CENTRO-OESTE;2026-01-01 21:00:00;34128.46799999999;7054.840999999999;22.914;0.0;47998.65399999999;-6784.939
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-01 21:00:00;65567.19399999999;9464.798;9489.753;1.0;84541.71;0.0
N  ;NORTE;2026-01-01 22:00:00;13439.516;1575.0079999999996;341.669;0.0;8667.949999999999;6690.016
NE ;NORDESTE;2026-01-01 22:00:00;4931.862000000001;667.078;7738.384999999997;0.0;14734.7;-1394.473
S  ;SUL;2026-01-01 22:00:00;13981.593999999996;170.511;183.473;1.0;13405.076999999996;931.501
SE ;SUDESTE/CENTRO-OESTE;2026-01-01 22:00:00;34119.35899999999;7060.185;13.591;0.0;47433.19;-6227.044
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-01 22:00:00;66472.33099999999;9472.782;8282.688999999998;1.0;84240.92;0.0
N  ;NORTE;2026-01-01 23:00:00;13423.954000000002;1574.524;327.848;0.0;8681.054000000002;6647.017
NE ;NORDESTE;2026-01-01 23:00:00;4396.001;666.925;6692.673999999999;0.0;14701.132;-2944.134
S  ;SUL;2026-01-01 23:00:00;13792.850999999995;181.906;104.221;1.0;12639.317999999996;1440.66
SE ;SUDESTE/CENTRO-OESTE;2026-01-01 23:00:00;33497.446;7092.335999999999;19.259;0.0;45771.366;-5143.543000000001
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-01 23:00:00;65110.25199999999;9515.691;7143.830999999998;1.0;81792.87;0.0
N  ;NORTE;2026-01-02 00:00:00;13160.037;1564.4040000000002;341.469;0.0;8573.224999999999;6494.547
NE ;NORDESTE;2026-01-02 00:00:00;3044.687;663.2929999999999;6344.653999999999;0.0;14505.213999999998;-4447.103999999999
S  ;SUL;2026-01-02 00:00:00;14717.208;168.411;92.835;1.0;11979.427;3002.25
SE ;SUDESTE/CENTRO-OESTE;2026-01-02 00:00:00;31575.483999999997;7141.469999999999;17.811;0.0;43785.14199999999;-5049.692999999999
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-02 00:00:00;62497.416;9537.635;6796.768999999998;1.0;78843.01;0.0
N  ;NORTE;2026-01-02 01:00:00;12421.642000000002;1574.477;278.457;0.0;8420.567000000003;5856.066
NE ;NORDESTE;2026-01-02 01:00:00;2976.723;675.806;5196.675;0.0;14180.39;-5325.411
S  ;SUL;2026-01-02 01:00:00;15001.977000000004;188.693;63.31099999999999;1.0;11340.827;3914.145
SE ;SUDESTE/CENTRO-OESTE;2026-01-02 01:00:00;30559.035000000003;7115.289;17.805;0.0;42138.941000000006;-4444.799999999999
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-02 01:00:00;60959.37700000001;9552.688;5556.2480000000005;1.0;76080.73;0.0
N  ;NORTE;2026-01-02 02:00:00;10832.288;1575.6650000000002;267.777;0.0;8195.474;4482.287
NE ;NORDESTE;2026-01-02 02:00:00;2976.549;676.884;3965.313;0.0;14013.255;-6382.392
S  ;SUL;2026-01-02 02:00:00;14975.394000000002;195.273;54.115;1.0;10889.428000000002;4336.525
SE ;SUDESTE/CENTRO-OESTE;2026-01-02 02:00:00;31465.64000000001;7089.086999999999;17.567;0.0;41007.73400000001;-2436.42
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-02 02:00:00;60249.871000000014;9537.442;4304.772;1.0;74105.89;0.0
N  ;NORTE;2026-01-02 03:00:00;9421.277;1569.263;289.437;0.0;7990.045;3291.918
NE ;NORDESTE;2026-01-02 03:00:00;2941.608;667.495;3642.881;0.0;13838.086;-6572.407
S  ;SUL;2026-01-02 03:00:00;14980.533;189.287;51.137;1.0;10571.576;4650.34
SE ;SUDESTE/CENTRO-OESTE;2026-01-02 03:00:00;31781.37499999998;7077.885;8.479;0.0;40236.68799999998;-1369.851
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-02 03:00:00;59124.79299999998;9501.81;3991.9339999999993;1.0;72636.4;0.0
N  ;NORTE;2026-01-02 04:00:00;8501.402000000002;1571.012;295.889;0.0;7793.266;2576.9170000000004
NE ;NORDESTE;2026-01-02 04:00:00;2814.9659999999994;655.001;3747.259;16.669;13686.764;-6434.748
S  ;SUL;2026-01-02 04:00:00;14899.789;192.841;50.42700000000001;1.0;10418.197;4725.819
SE ;SUDESTE/CENTRO-OESTE;2026-01-02 04:00:00;31835.824000000008;7057.473;7.38;17.031;39784.637;-867.9880000000003
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-02 04:00:00;58051.981000000014;9476.916;4100.955;34.7;71682.86;0.0
N  ;NORTE;2026-01-02 05:00:00;7052.7970000000005;1563.6439999999998;293.504;14.653;7625.681;1300.831
NE ;NORDESTE;2026-01-02 05:00:00;2816.7159999999994;665.192;4165.459999999999;469.751;13097.643999999998;-4955.765
S  ;SUL;2026-01-02 05:00:00;14875.002999999995;190.867;58.023;99.442;10334.369999999995;4888.924
SE ;SUDESTE/CENTRO-OESTE;2026-01-02 05:00:00;31080.916;6822.624;7.005;454.9599999999999;39594.705;-1233.9899999999998
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-02 05:00:00;55825.43199999999;9242.403;4523.991999999999;1038.806;70652.4;0.0
N  ;NORTE;2026-01-02 06:00:00;4634.207;1558.6680000000003;314.416;201.278;7441.549000000001;-731.0419999999999
NE ;NORDESTE;2026-01-02 06:00:00;2572.5150000000003;608.54;4025.160000000001;4350.334999999999;12319.859000000002;-779.546
S  ;SUL;2026-01-02 06:00:00;13318.923999999995;181.313;79.92399999999999;770.905;10562.201999999996;3788.823
SE ;SUDESTE/CENTRO-OESTE;2026-01-02 06:00:00;27842.01200000001;5703.847999999999;8.085;4062.2310000000007;39895.352000000006;-2278.235
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-02 06:00:00;48367.65800000001;8052.870999999999;4427.585000000001;9384.749;70218.96;0.0
N  ;NORTE;2026-01-02 07:00:00;3840.79;1543.9989999999998;275.273;661.8849999999999;7432.119000000001;-1108.1349999999998
NE ;NORDESTE;2026-01-02 07:00:00;1955.906;562.6399999999999;4864.826999999998;8512.645;12292.015;3613.443
S  ;SUL;2026-01-02 07:00:00;7996.317000000002;166.351;78.656;1778.963;10952.892000000002;-932.26
SE ;SUDESTE/CENTRO-OESTE;2026-01-02 07:00:00;23663.36200000001;5492.0560000000005;10.284;10537.894000000002;41208.65100000001;-1573.048
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-02 07:00:00;37456.375000000015;7765.385;5229.039999999998;21491.387;71885.68;0.0
N  ;NORTE;2026-01-02 08:00:00;3904.628;1523.3950000000002;79.875;1196.65;7529.995000000001;-823.4109999999998
NE ;NORDESTE;2026-01-02 08:00:00;1818.637;545.653;4853.465999999999;9401.078000000003;12883.631;3756.905
S  ;SUL;2026-01-02 08:00:00;6932.286999999999;162.64600000000002;163.32600000000002;2905.118;11660.586;-1497.463
SE ;SUDESTE/CENTRO-OESTE;2026-01-02 08:00:00;21419.707999999995;5463.861;24.452;14775.533999999998;43034.079;-1436.0310000000002
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-02 08:00:00;34075.259999999995;7696.303999999999;5121.119;28278.38;75108.29;0.0
N  ;NORTE;2026-01-02 09:00:00;3580.936;1483.6780000000003;188.276;1640.0690000000002;7698.275;-803.2249999999999
NE ;NORDESTE;2026-01-02 09:00:00;1808.767;552.433;4132.282999999999;10184.934000000005;12781.148;3908.708
S  ;SUL;2026-01-02 09:00:00;6532.176;165.202;295.714;4107.871999999999;12085.726;-983.949
SE ;SUDESTE/CENTRO-OESTE;2026-01-02 09:00:00;19936.895;5412.978;11.053;16907.873999999996;44341.89199999999;-2121.534
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-02 09:00:00;31858.774;7612.427;4627.325999999999;32840.749;76907.04;0.0
N  ;NORTE;2026-01-02 10:00:00;3382.405;1472.9510000000002;188.242;1913.067;7705.401;-746.8049999999998
